Criticality	Manufacturer	Chip	Linux_BSP_Status	Revisions Impacted	Workaround	Failure	Details	Fix Status	Core	Error Category
	NXP	IMX6DQ	Software workaround not implemented in Linux BSP. Functionality or mode of operation in which the erratum may manifest itself is not used		 Program the required destination ID in bits [31:16] of the region Upper Base Address Register. 	ERR003757 PCIe: 9000448152âInternal Address Translation Unit (iATU): Inbound Vendor Defined Message (VDM) âID Match Modeâ is not functional 	 The VDM âID Match Modeâ of the iATU allows inbound ID-routed VDMs to be translated without explicit knowledge of the Bus, Device, or Function number of the target function. ID-routed VDMs contain the destination ID in bits [31:16] of Header DWORD3. This mode is not functional and the iATU requires the actual ID of the destination Bus, Device, and function to be known and programmed as bits [63:48] of the iATU region Base Address. Following is an example scenario for this erratum: 1. Setup an inbound iATU region with the type field set to match messages and the vendor ID match mode bit set to 1. 2. Send a message that matches the bits [47:ATU_REG_WD] of the region base, but that does not match bits [63:48]. The message will not be translated. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None 	PCIe: 9000441819âUpstream Port does not transition to Recovery after receiving TS OSs during âENTER_L2 negotiationâ 	 Following is an example scenario for this erratum: 1. Downstream Port sends PME_Turn_Off message, Upstream Port sends PM_Enter_L23 DLLPs. 2. Downstream Port sends PM_Request_Ack DLLPs and does not move to Electrical Idle. 3. Upstream Port moves into Transmitter Electrical Idle and is waiting for Receiver Electrical Idle. 4. Downstream Port moves to Recovery and sends TS OSs. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround not implemented in Linux BSP. Functionality or mode of operation in which the erratum may manifest itself is not used		 Program an iATU region to generate the MSI and then write to that region to generate the message. 	ERR003759 PCIe: 9000439510âInternal Address Translation Unit (iATU) can sometimes overwrite Outbound (Tx) Vendor Messages and MSIs 	 Outbound TLPs created at the vendor message interface (VMI) or the MSI interface are always subject to translation by the iATU. In PCI Express block configurations with an AHB/AXI interface and a 32-bit slave address bus width, the iATU incorrectly only considers the lower 32 bits of the 64-bit VMI or MSI address, when determining whether to translate the outbound TLP or not. The VMI always uses 64 bits of the vend_msg_data input. These 64 bits of data are placed in DW3 and DW4 of the message TLP header and are treated by the iATU as an address. When the lower 32 bits on vend_msg_data match an enabled iATU region, then the resulting TLP is incorrectly translated, regardless of the upper 32 bits. All of the 64-bits should have been checked in the iATU. Following is an example scenario for this erratum with respect to VMI interface: 1. Setup any outbound iATU region (any type, any target address) 2. Send a message using VMI where the lower 32 bits of the message match the iATU region 3. The resulting Vendor Message TLP will be translated by the iATU regardless of the value of the upper 32 bits on vend_msg_data Following is an example scenario for this erratum with respect to MSI interface: 1. Setup any outbound iATU region of any type where the lower 32 bits of the base address of the region match the lower 32 bits of the MSI address for any function within the device 2. Stimulate a MSI request 3. The resulting TLP will match the iATU region target specification and not the MSI address of the function 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will result in impacted or reduced functionality as described above		 None. 	PCIe: 9000439175âPoisoned Atomic Op requests targeting RTRGT0 receive UR response instead of CA response 	 The core does not support Atomic Ops that are targeted towards the RTRGT0, because RTRGT0 can only process one DWORD requests. Therefore, any Atomic Op request targeting the RTRGT0 interface should receive a CPL with CA completion status. There is an issue when the core receives an Atomic Op request that is poisoned (EP bit is set to 1) and the request is targeting the RTRGT0 interface. The core correctly disregards the poisoned status as the CA response is a high priority error. However, the poisoned bit causes the internal filter to treat the request as UR instead of CA. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None. This issue will not lead to any compliance failures. 	ERR004297 PCIe: 9000336356âLink configuration sometimes proceeds when incorrect TS Ordered Sets are received 	 The core moves ahead even when it does not receive the same non-PAD lane number in two consecutive TS Ordered Sets (OS) in the Link configuration process. Scenario Setup: â¢ The link is in the link training phase. â¢ Remote partner sends TS OS without the same non-PAD lane number in any two consecutive TS OS on any active lane. â¢ The core moves ahead regardless of the non-PAD lane number not being the same in two consecutive TS OS. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None required, there are no adverse side effects. 	PCIe: 9000471173âBad DLLP error status checking is too strict 	 Figure 3-15 in Section 3.5.2.2. âHandling of Received DLLPsâ of the PCI Express base Specification 3.0, indicates when a bad DLLP error should be reported. It should occur when the calculated CRC is not equal to the received value. The core correctly reports a bad DLLP error under this scenario. However, it also sets it if the Physical Layer reports a packet error during reception of the DLLP or if the DLLP ends with an ENDB symbol and not an END symbol. These extra conditions should not result in the reporting of a bad DLLP error. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None, but a graceful resumption of normal operation is expected. 	ERR004299 PCIe: 9000493959âL1 ASPM incorrectly entered after link down event during L1 ASPM entry negotiation 	 Upstream ports are responsible for initiating entry into the L1 low-power state. The core implements an idle timer mechanism to trigger entry into the L1 state when L1 ASPM is enabled. If this timer has triggered but the port has not yet negotiated entry into the L1 low power state, and a link down event occurs, then the port will attempt to enter L1 again as soon as the link has resumed operation. This attempted L1 entry occurs, even though L1 ASPM is no longer enabled for the link (because of the link down reset). Conditions: Scenario setup: â¢ After link-up, enable L1 ASPM. â¢ Allow the link to go idle. Eventually, the port begins to request L1 entry by sending PM_Active_State_Request_L1 TLPs. â¢ Do not acknowledge the PM_Active_State_Request_L1 TLPs, but bring the link down by forcing the remote partner into the detect state. â¢ Allow the link to retrain to L0. â¢ After the link has retrained, the port will again attempt entry into the L1 ASPM state, even though L1 ASPM is now disabled. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround not implemented in Linux BSP. Functionality or mode of operation in which the erratum may manifest itself is not used		 This defect has no adverse side effects, rather a strict interpretation of the specification. The only consequence is that L0S (PCI Express Link Power State) will be exited prematurely if this condition is hit however will re-enter if the condition to enter prevails. So, just an early exit out of L0S but not functional problems or data corruption or compliance failure. 	PCIe: 9000470913âPower Management Control: Core might enter L0s/L1 before Retry buffer is empty 	 The PCIe base specification states that before the L1 state can be entered, the Retry buffer must be empty. For PM Directed L1 Entry 5.3.2.1. Entry into the L1 State The Downstream component then waits until it receives a Link Layer acknowledgement for the PMCSR Write Completion, and any other TLPs it had previously sent. The component must retransmit a TLP out of its Data Link Layer Retry buffer if required to do so by Data Link Layer 15 rules. For ASPM L1 Entry 5.4.1.2.1. Entry into the L1 State The Downstream component must wait until it receives a Link Layer acknowledgement for the last TLP it had previously sent (the retry buffer is empty). The component must retransmit 30 a TLP out of its Data Link Layer Retry buffer if required by the Data Link Layer rules. In Addition For Entry into The L0s State 5.4.1.1.1. Entry into the L0s State No TLP is pending to transmit over the Link, or no FC credits are available to transmit any TLPs. This can be interpreted as meaning the retry buffer should be empty. This is because it might be necessary to retransmit a TLP over the link, until a TLP has been acknowledged. The core does not wait for the retry buffer to be empty before commencing L0s or L1 entry. Conditions: Scenario Setup: 1. Transmit a TLP from the DWC_pcie core 2. Suppress Ack/Nak transmission from the Link Partner. 3. Initiate PM directed L1, ASPM L0s or ASPM L1 entry. 4. The core will enter the appropriate low power state, even though it still has TLPs in the retry buffer. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 No workaround. Also should not cause any compliance issues. 	PCIe: 9000487440âTLP sometimes unnecessarily replayed 	 A DLLP Ack can be missed by the core on the receive path when it is immediately followed by EIOS. Conditions: After the Ack, two EIOS are seen on the PIPE interface. In this scenario, the Ack is missed by the RX logic, causing the corresponding TLP to be re-transmitted from the Tx replay buffer. Eventually, the link recovers from this event, as the receiver on the other side drops the re-transmitted TLP as a duplicate TLP. If the missed frame is a TLP, no ACK will be sent to the link partner, resulting in re-transmission of the TLP from the link partner. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround not implemented in Linux BSP. Functionality or mode of operation in which the erratum may manifest itself is not used		 The workaround is to override the RX_EQ settings, accordingly, using control registers inside the PHY: RX_OVRD_IN_HI - 0x1006 10:8 - RX_EQ[2:0] 11 - RX_EQ_OVRD 	ERR004489 PCIe: 9000505660âPCIe2 receiver equalizer settings 	 In the PCIe2 PHY, the rx0_eq[2:0] pins are controlled by the PCS, which currently drives these to a fixed value of 3âb000. This removes the capability to change RX equalization if any compliance issues are encountered. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None. This is an unusual verification setup, and in a real system the remote partner must keep sending TS1 OSs in Recovery.RcvrLock and then the core will move to Recovery after receiving 2 TS1 OSs. 	PCIe: 9000514662âLTSSM delay when moving from L0 to recovery upon receipt of insufficient TS1 Ordered Sets 	 When the remote link partner enters Recovery.rcvrlock from the L0 state and transmits only two TS1 Ordered Sets (OS), the core can sometimes miss the second TS1 OS and therefore, delay its entry into Recovery.rcvrlock. Conditions: Scenario Setup: â¢ The remote link partner enters Recovery.rcvrlock from the L0 state and transmits only two TS1 OSs â¢ The remote link partner then unusually moves to ElecIdle and de-asserts the PIPE signal rxvalid in Recovery.RcvrLock â¢ The expected response from the core is that it will transition to Recovery.rcvrlock on receipt of the two TS1 OSs â¢ The core receives a SKP OS or EIEOS that was inserted between the two TS1 Ordered Sets. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None, the link recovers gracefully. 	PCIe: 9000507633âTLP might be replayed an extra time before core enters recovery 	 The PCI Express base specification states in section 3.5.2.1 âIf REPLAY_NUM rolls over from 11b to 00b, the Transmitter signals the Physical Layer to retrain the Link, and waits for the completion of retraining before proceeding with the replay.â In the core, there are scenarios where the first TLP to be replayed might be replayed a fourth time before the link is retrained. This happens because the replay buffer logic requests the link to retrain at the same time that it begins a replay. If the link does not begin to retrain quickly enough, the first TLP of the replay might be transmitted again prior to link retraining. Conditions: Scenario Setup: 1. Transmit a series of TLPs from the core. 2. Send a Nak DLLP for the first TLP to initiate a replay. 3. Wait for the replay to begin. 4. Send a Nak DLLP for the first TLP to again initiate a replay. 5. Repeat steps (3) and (4) two more times. 6. After sending the fourth NAK, in some circumstances the first replayed TLP might be seen before the link begins to retrain. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround integrated in Linux BSP codebase starting in release imx_3.0.35_4.1.0		 From Cold start (LTSSM starts in Detect state): â¢ Disable MAC/LTSSM. â¢ Disable MAC/Gen2 support. â¢ Release MAC/LTSSM. â¢ Wait for MAC to enter L0. â¢ From L0, initiate MAC entry to Gen2 if EP/RC supports Gen2. â¢ Wait 2 ms (LTSSM timeout is 24 ms, PHY lock is ~5 Î¼s in Gen2). â¢ If (MAC/LTSSM.state == Recovery.RcvrLock) && (PHY/rx_valid == 0), then pulse PHY/rx_reset. Transition to Gen2 is stuck. Enter L2 from L0: â¢ Driver receives/requests entry to L2. â¢ Wait 2 ms (LTSSM timeout is 24 ms, PHY lock is ~10 Î¼s in Gen1). â¢ If (MAC/LTSSM.state == Recovery.RcvrLock) && (PHY/rx_valid == 0), then pulse PHY/rx_reset. Transition to Gen1 is stuck. Exit from L2 to L0: â¢ Driver receives/requests exit from L2. â¢ Disable MAC Gen2 support. â¢ Release LTSSM to wake-up from L2. â¢ Wait for entry to L0 and then repeat process of entering Gen2 from cold start case (going through Detect). 1. Disable RX in the PHY by CREG write: Address=16âh1005, Data=16âh0028 2. Enable RX in the PHY by CREG write: Address=16âh1005, Data=16âh0000 PHY rx_valid read: â¢ Sample rx_valid in the PHY by CREG read: Address=16âh100D, Data Mask=16âh0001 (rx_valid is bit 0) MAC software registers: 1. Disable/enable LTSSM: write app_ltssm_enable. 2. Disable Gen2 (read/write link capability/status register): 3. Link in L0 event (driver should know this when the data link layer starts): 4. Request change to Gen2: (Cfg Directed Speed Change enabled. Write Gen2 Control Register DEFAULT_GEN2_SPEED_CHANGE). 5. Read LTSSM state (xmlh_ltssm_state[4:0]. 6. Negotiate L2 entry/exit (software controlled D3). 	ERR005184 PCIe: Clock pointers can lose sync during clock rate changes 	 The digital to analog clock domain transfer of the frequency updates is susceptible to meta-stability errors as the transfer is done through a FIFO. During initial power-up, the FIFO ensures proper alignment by delaying the read pointer until the write clock has started. For correct operation of pointers, it is required that there are five edges of the write clock in two edges of the read clock. When a rate change occurs from Gen1 to Gen2 or vice versa, the clock frequencies switch. During this switching, it is possible (depending upon internal clock tree delay in the PHY digital logic) that there are six write clock edges between two clock edges of the read clock. This causes the pointers to move out of sync and for some process/voltage/temperature corners can result in continuous corrupted reads of frequency update inputs to CDR phase mixer. Once the pointers are misaligned, the condition will persist until the clocks are disabled or another phase shift occurs in clock phases as a result of rate change. The end result is the CDR loses lock in L0 state. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround is not implemented because this erratum will never be encountered in normal device operation		 In current PCIe core, there is no signal indicating that remote partner has âExtended Synchâ bit set per PCIe base spec. The workaround is to know in advance if the link partner has the âExtended Synchâ bit set and in that case set that bit in the PCIe also. The âExtended Synchâ is intended for a logic analyzer. It may be used if there are repeaters on the link. 	ERR005186 PCIe: The PCIe Controller Core Does Not Send Enough TS2 Ordered Sets During Link Retrain And Speed Change 	 The PCIe core might send less than 32 TS2 ordered sets during link retraining and speed changing if the remote partner sends more TS1 ordered sets than expected. This occurs when the âExtended Synchâ bit cleared in PCIe and set at the remote partner. Scenario Setup: â¢ Link partners agree to do speed change negotiation and move to Recovery. â¢ The remote partner stays in Recovery.RcvrLock longer and sends more TS1s (for example, Extended Synch bit is set). â¢ In Recovery.RcvrCfg state core will send less than 32 TS2s before transition to Recovery.Speed 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Software workaround not implemented in Linux BSP. Functionality or mode of operation in which the erratum may manifest itself is not used		 Increase the programming of the âLow Power Entrance Countâ field of the âPort Force Link Registerâ (maximum is 255). This delays the entry into L1 and prevents the problem from occurring. The âLow Power Entrance Countâ field is for Power Management state to wait for these many clock cycles for the associated completion of a configuration write to D-state register to go low power. The longer delay is to ensure that the completion TLP can be sent by the core to avoid immediate waking-up after entering L1. 	PCIe: The PCIe Controller cannot exit successfully L1 state of LTSSM when the Core Clock is removed 	 Under the condition where the core enters L1 and is then directed to immediately exit due to a pending TLP transmission, the LTSSM misses the PhyStatus pulse because of the gated core_clk in clk_rst.v. Scenario Setup: â¢ LTSSM enters L1 and indicates to the PHY to change Powerdown to P1. â¢ Core immediately gets a wake-up event and wants to exit from L1. To make the transition into Recovery, the core needs to receive PhyStatus back from the PHY â¢ The PHY changes Powerdown to P1 and asserts PhyStatus back to Core. â¢ LTSSM moves to Recovery state and indicates to the PHY to change Powerdown to P0 â¢ core_clk is gated off immediately after LTSSM enters Recovery. This can happen as a result of the logic in the clk_rst module that is performing glitch-less clock switch on aux_clk â¢ The PHY changes Powerdown to P0 and asserts PhyStatus back to core. â¢ LTSSM misses the PhyStatus because core_clk is still gated off by the clk_rst module. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will not result in impacted or reduced functionality as described above		 No workaround, no effect on software but non compliance with standard. 	ERR005189 PCIe: PCIe Gen2/Gen3 Hardware Autonomous Speed Disable Bit In Configuration Register is not sticky 	 Hardware Autonomous Speed Disable bit Attributes in PCIe Base Specification Rev 2.0 were RW/RsvdP. In Rev 3.0 it is changed to RWS/RsvdP. Scenario Setup: â¢ âNo soft resetâ bit is programmed to 0 on any function. â¢ âHardware Autonomous Speed Disableâ bit is programmed to 1, if the component does not want to adjust the Link speed autonomously. â¢ Train the Link to Hot Reset. â¢ Core will have a Link down reset which causes non-sticky reset. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will result in impacted or reduced functionality as described above		 The PCIe can be put into PDDQ mode to save PCIe PHY power and wake up only by the OOB (Out of Band) wakeup signal (since wakeup by a beacon from link partner is not supported) driven from the link partner (End Point). This signal could be used as a GPIO interrupt to exit this mode. The limitation of this workaround is that the link partner cannot be put into L2 mode. 	PCIe: PCIe does not support L2 power down [i.MX 6Dual/6Quad Only] 	 When PCIe works as Root Complex, it can exit L2 mode only through reset. Since PCIe does not have a dedicated reset control bit, it cannot exit L2 mode. 	No fix scheduled 	Cortex A-9	
	NXP	IMX6DQ	Workaround possible but not implemented in the BSP, impacting functionality as described above		 Request maximum number of MSI vectors by writing the Multiple Message Capable field of the MSI Control Register with a value of 0x5 via the DBI register. Apply a mask on the writable mask bits in accordance with the value of cfg_multi_msi_cap. 	ERR007554 PCIe: MSI Mask Register Reserved Bits not read-only 	 Per the PCI Specification, unimplemented mask register bits in the MSI capability should be reserved. All mask bits in the core are implemented with read-write attribute, regardless of the number of MSI vectors requested. The PCI-SIG compliance test CFG 4.0.1 expects the reserved bits to be read-only and consequently fails if less than the maximum number of MSI vectors are requested by the core. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will result in impacted or reduced functionality as described above		 None. 	PCIe: iATU - Optional programmable CFG Shift feature for ECAM is not correctly updating address (9000642041) 	" iATU Enabled (CX_INTERNAL_ATU_ENABLE =1) bit 28 (CFG_SHIFT_MODE) is enabled in the IATU_REGION_CTRL_2_OFF_OUTBOUND_0 register. The implementation of the Enhanced Configuration Address Mapping (ECAM) feature violates the PCIe specification requirement that all reserved fields should always be ""0"". The basic idea is that the Bus/Device/Function (BDF) address is shifted 4 bits down so that the entire Cfg space can be mapped into a 256 MB region, rather than requiring multiple address translation tables, or a 4GB translation space. The BDF is then supposed to be shifted back up from bits 27:12 to 31:16 in the outgoing TLP (actually Bytes 8 and 9 in the Cfg TLP). The core does not do this translation correctly when the CFG Shift bit is set in an iATU entry. "	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will result in impacted or reduced functionality as described above		 None 	ERR007556 PCIe: Core Delays Transition From L0 To Recovery After Receiving Two TS OS And Erroneous Data (9000597455) 	 When the core is in L0 and receives two TS ordered sets followed by erroneous data, the core does not transition to Recovery immediately. The core will wait for the 128 us timeout and then move to Recovery if the core continuously receives erroneous data. Scenario Setup: Linkup to L0 Send two TS ordered sets to the core Send some erroneous data to the core immediately Continue sending erroneous data to the core for 128 us 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will result in impacted or reduced functionality as described above		 None 	PCIe: Extra FTS sent when Extended Synch bit is set (9000588281) 	 16-bit, 32-bit, or 64-bit PIPE I/F (CX_NB >= 2) Gen1/Gen2 Mode (CX_GEN3_MODE = 2) When running at Gen1 or Gen2 speed, if the valid core data width on a lane is 2s (two symbols) or higher and the Extended Synch bit is set in the Link Control Register, then the core sends one extra FTS (4097 instead of 4096) when exiting L0s. Scenario Setup: 1. Set the Extended Synch bit in the Link Control Register. 2. Enable L0s ASPM by setting Link Control Register bit 0 to 1. 3. Bring the link to L0 at Gen1 or Gen2 speed and leave the link idle. 4. The controller goes to L0s after an L0s entry latency timeout. 5. Initiate a TLP transmission. 6. The controller wakes up and sends 4097 FTS. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	No software workaround can be implemented to mask or workaround this erratum. This erratum will result in impacted or reduced functionality as described above		 None 	ERR007559 PCIe: Core sends TS1 with non-PAD lane number too early in Configuration.Linkwidth.Accept State (9000574708) 	 When the downstream port (DSP) core enters Configuration.Linkwidth.Accept, it immediately starts sending TS1 with non-PAD lane number. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None 	PCIe: Link and lane number-match not checked in recovery (9000569433) 	" When the core's LTSSM is in Recovery.RcvLock or Recovery.RcvCfg, and it receives TS Ordered sets, it does not check whether the link and lane numbers of the received TS Ordered Sets match what is being transmitted on those same lanes. Scenario Setup: Core is in link state ""Recovery.RcvLock"" or ""Recovery.RcvCfg"" and receives TS Ordered Sets with link and lane number not matching what is being transmitted on those same Lanes. The absence of link and lane number match checks in Recovery.RcvrLock and Recovery.RcvrCfg states only affects single lane configurations (CX_NL = 1). All configurations are not affect, as stated in the Impacted Configurations section above. "	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None 	ERR007575 PCIe: LTSSM delay when moving from L0 to recovery upon receipt of insufficient TS1 Ordered Sets (9000514662) 	 When the remote link partner enters Recovery.rcvrlock from the L0 state and transmits only two TS1 Ordered Sets (OS), the core can sometimes miss the second TS1 OS and therefore delay its entry into Recovery.rcvrlock. Scenario Setup: The remote link partner enters Recovery.rcvrlock from the L0 state and transmits only two TS1 OS's The remote link partner then unusually moves to ElecIdle and de-asserts the PIPE signal rxvalid in Recovery.RcvrLock The expected response from the core is that it will transition to Recovery.rcvrlock on receipt of the two TS1 OS's The core receives a SKP OS or EIEOS that was inserted between the two TS1 Ordered Sets. Note: This is an unusual verification setup, and in a real system the remote partner must keep sending TS1s in Recovery.RcvrLock and then core will move to Recovery after receiving 2 TS1s. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	 Software workaround cannot be implemented to mask or workaround this SoC issue. This erratum will result in impacted or reduced functionality as described above		 None 	PCIe: DLLP/TLP can be missed on RX path when immediately followed by EIOS (9000487440) 	 DLLP ACK frame is missed on the RX path. After the ACK, two EIOS are seen on the pipe interface. In this scenario, the ACK is missed by the RX logic, causing to the corresponding TLP to be re-transmitted from the TX replay buffer. Eventually, the link recovers from this event, as the receiver on the other side drops the re-transmitted TLP as a duplicate TLP. If the missed frame is a TLP, no ACK will be sent to the link partner, resulting in re-transmission of the TLP from the link partner. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	Software workaround integrated in Linux BSP codebase starting in release L3.10.53_1.1.0_ga		 Prior to executing a warm reset, clear the IOMUXC_GPR1[REF_SSP_EN] to disable the PCIe reference clock. Once the warm reset is complete and the clocks are stable again, re-enable the PCIe reference clock by setting IOMUXC_GPR1[REF_SSP_EN] to 1. 	ERR008587 PCIe: Random link down after warm reset [i.MX 6Dual/6Quad Only] 	 In rare cases, the PCIe link may go down after a warm reset occurs. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	Software workaround integrated in Linux BSP codebase starting in release imx_v2015.04_3.14.52_1.1.0_ga (U-Boot). LDO PU is always on except when entering DSM		 If the PRE is in use the PU domain LDO must not be switched off. To help reduce the power consumption, software can disable the GPU/VPU clocks. 	PRE: GPU3D, GPU2D and VPU cannot be power-gated if the PRE is in use [i.MX 6DualPlus/6QuadPlus Only] 	 The PRE clock will be paused for several cycles when turning on the PU domain LDO from power down state. If PRE is in use at that time, the IPU/PRG cannot get the correct display data from the PRE. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	Software workaround integrated in Linux BSP codebase starting in release imx_3.14.52_1.1.0_ga		 Prevent software writing to the HW_PRE_CTRL register during the problematic hardware write window. For cases in which the PRE input line number is greater than 9, the software will read the STORE_BLOCK_Y status in the HW_PRE_STORE_ENGINE_STATUS register and verify it is within a safe window before writing to the SDW_UPDATE bit in the HW_PRE_CTRL register. For cases in which the PRE input line number is less than or equal to 9, the software will write to the SDW_UPDATE bit (as well as any other PRE registers) in the flip/buffer-switch interrupt handler, that is, the IPU end of frame (EOF) interrupt in the current software implementation. For on-the-fly switch cases, similar to the less than or equal to 9 case, writes to the HW_PRE_CTRL register will be in the so-called on-the-fly configuration interrupt, that is, the same IPU end of frame (EOF) interrupt in the current software implementation. 	ERR009624 PRE: ENABLE bit cannot be set in a special case, when the EN_REPEAT bit is set [i.MX 6DualPlus/6QuadPlus Only] 	 The ENABLE bit in the HW_PRE_CTRL register can be set by hardware or software. The software operation has a higher priority. If the hardware flow tries to set this bit while the software is writing any bits in the HW_PRE_CTRL register at same time, the hardware operation will be ignored. The hardware operation is only valid for one pre_clk cycle. Once this occurs the ENABLE bit cannot be set unless the entire display channel (PRE+PRG+IPU) is restarted. 	No fix scheduled. 	Cortex A-9	
	NXP	IMX6DQ	No BSP software workaround		 For the ROM NAND boot, there is no software workaround for this issue. For a hardware workaround, implement an external watchdog or other reset watch (such as via a PMIC). On a successful boot, the processor toggles the external watchdog through an I/O mechanism (for example, a GPIO) which prevents the watchdog from detecting a timeout. If a boot failure occurs, the external watchdog times out, thus resetting the processor. For other occurrences in application code, the following procedure should be followed to change the clock configuration for the enfc_clk_root: 1) Gate (disable) the GPMI/BCH clocks in register CCM_CCGR4. 2) Gate (disable) the enfc_clk_root before changing the enfc_clk_root source or dividers by clearing CCM_CCGR2[CG7] to 2âb00. This disables the iomux_ipt_clk_io_clk. 3) Configure CCM_CS2CDR for the new clock source configuration. 4) Enable enfc_clk_root by setting CCM_CCGR2[CG7] to 2âb11. This enables the iomux_ipt_clk_io_clk. 5) Enable the GPMI/BCH clocks in register CCM_CCGR4 	ROM: When booting from NAND flash, enfc_clk_root clock is not gated off when doing the clock source switch [i.MX 6Dual/6Quad Only] Description For raw NAND boot, ROM switches the source of enfc_clk_root from PLL2_PFD2 to PLL3. The root clock is required to be gated before switching the source clock. If the root clock is not gated, clock glitches might be passed to the divider that follows the clock mux, and the divider might behave unpredictably. This can cause the clock generation to fail and the chip will not boot successfully. This problem can also occur elsewhere in application code if the root clock is not properly gated when the clock configuration is changed. Projected Impact: The chip might not successfully boot from a NAND flash device. If the application code changes the enfc_clk_root configuration without gating the clocks appropriately (described in the workaround), accesses to a NAND device may fail. Workarounds: For the ROM NAND boot, there is no software workaround for this issue. For a hardware workaround, implement an external watchdog or other reset watch (such as via a PMIC). On a successful boot, the processor toggles the external watchdog through an I/O mechanism (for example, a GPIO) which prevents the watchdog from detecting a timeout. If a boot failure occurs, the external watchdog times out, thus resetting the processor. For other occurrences in application code, the following procedure should be followed to change the clock configuration for the enfc_clk_root: 1) Gate (disable) the GPMI/BCH clocks in register CCM_CCGR4. 2) Gate (disable) the enfc_clk_root before changing the enfc_clk_root source or dividers by clearing CCM_CCGR2[CG7] to 2âb00. This disables the iomux_ipt_clk_io_clk. 3) Configure CCM_CS2CDR for the new clock source configuration. 4) Enable enfc_clk_root by setting CCM_CCGR2[CG7] to 2âb11. This enables the iomux_ipt_clk_io_clk. 5) Enable the GPMI/BCH clocks in register CCM_CCGR4 Proposed Solution: ROM boot fixed in i.MX 6Dual/6Quad silicon revision 1.3 Linux BSP Status: No BSP software workaround		ROM boot fixed in i.MX 6Dual/6Quad silicon revision 1.3 	Cortex A-9	
	NXP	IMX6DQ	No software workaround available		 Burn more FCB copies(4/8) into the NAND chip to increase the possibility that ROM can find a valid one. 	ERR007220 ROM: NAND boot may fail due to incorrect Hamming Checking implementation in the ROM code [i.MX 6Dual/6Quad Only] 	 For a NAND boot, the ROM code verifies FCB (Firmware Configuration Block) using Hamming Checking. For every single byte within FCB, there is an associated parity byte. Only the least significant 5 bits of the parity byte are valid. However, the ROM code uses the whole 8 bits of the parity bytes for the Hamming Checking. Thus, if a bit flip occurred on any of the most significant 3 bits (bits 7/6/5) of any parity bytes, the Hamming Checking will fail. The MSB 3 bits of parity byte should not be considered in the checking process. So the ROM code may interpret a valid FCB as an invalid one. 	Fixed in i.MX 6Quad/6Dual silicon revision 1.3. 	Cortex A-9	
